CO_ENTIDADE,DS_ENDERECO,QT_SALAS_UTILIZADAS,IN_QUADRA_ESPORTES_COBERTA,IN_PISCINA
41130227,RODOVIA BR-277 CURITIBA-PARANAGUA,32.0,1.0,0.0
41130235,RUA ANGELINA TURESSO CAVALIM,8.0,1.0,0.0
41130243,RUA MAJOR VICENTE DE CASTRO,10.0,0.0,0.0
41130251,RUA CALIFORNIA,13.0,1.0,0.0
41130260,RUA DANIEL MIKOVSKI,9.0,1.0,0.0
41130294,RUA NOVA LONDRINA,8.0,1.0,0.0
41130308,RUA PRES PADUA FLEURY,13.0,1.0,0.0
41130316,RUA CAROLINA DOS ANJOS,27.0,1.0,0.0
41130324,RUA DOS IPES,14.0,1.0,0.0
41130332,RUA JOAO MACHADO DE CAMARGO,25.0,1.0,0.0
41130340,AV VICENTE MACHADO,15.0,1.0,0.0
41130359,RUA MARIA THEODORA DE PAULA COSTA,14.0,0.0,0.0
41130367,RUA ALEXANDRE MARCOSKI,21.0,1.0,0.0
41130375,RUA NUNES MACHADO,8.0,1.0,0.0
41130383,RUA BRIG EDUARDO GOMES,7.0,1.0,0.0
41130391,AVENIDA SILVA JARDIM,9.0,1.0,0.0
41130405,RUA DILERMANDO PEREIRA DE ALMEIDA,22.0,1.0,0.0
41130413,RUA IZABEL RAKSA VOLUZ,9.0,0.0,0.0
41130421,RUA LAMENHA LINS,20.0,1.0,0.0
41130430,RUA DIOGO MUGGIATI,32.0,1.0,0.0
41130480,RUA AFFONSO BARONI,17.0,1.0,0.0
41130499,RUA COSTA RICA,34.0,1.0,1.0
41130502,RUA JOSE OSIRES BAGLIOLI,15.0,0.0,0.0
41130529,RUA MAESTRO CARLOS FRANK,22.0,1.0,0.0
41130553,RUA LUIZ RONALDO CANALLI,6.0,0.0,0.0
41130570,RUA RORAIMA,17.0,1.0,0.0
41130596,RUA CURUPIS,7.0,1.0,0.0
41130618,RUA MAL MALLET,40.0,1.0,0.0
41130634,RUA CEL AMERICO WALGER,12.0,0.0,0.0
41130650,RUA SAMUEL CEZAR,5.0,0.0,0.0
41130669,RUA ALBERT SABIN,13.0,1.0,0.0
41130677,RUA JOAO BATISTA SCUCATO,,,
41130685,RUA MAESTRO CARLOS FRANK,32.0,1.0,0.0
41130693,RUA ELIAS MOYSES SCHELELA,6.0,1.0,0.0
41130707,RUA PROF. ULISSES VIEIRA,14.0,1.0,0.0
41130723,AV IGUACU,17.0,1.0,0.0
41130740,RUA SANTA MADALENA SOFIA BARAT,32.0,1.0,0.0
41130782,AV CANDIDO HARTMANN,17.0,1.0,0.0
41130790,RUA GUABIROTUBA,20.0,1.0,0.0
41130804,ESTRADA VELHA DO BARIGUI,20.0,1.0,0.0
41130812,RUA PRES RODRIGO OTAVIO,9.0,1.0,0.0
41130820,RUA SANTA CATARINA,7.0,1.0,0.0
41130839,RUA PASTOR ANTONIO POLITO,8.0,1.0,0.0
41130847,AV PRESIDENTE AFFONSO CAMARGO,19.0,1.0,0.0
41130855,RUA KONRAD ADENAUER,8.0,1.0,0.0
41130863,RUA JOAO RIBEIRO LEMOS,38.0,1.0,0.0
41130871,RUA JOAO DEMBINSKI,16.0,1.0,0.0
41130880,RUA SANTA MARIA,6.0,0.0,0.0
41130901,RUA DEL BRUNO DE ALMEIDA,11.0,1.0,0.0
